articles,summaries
رائیونڈ پولیس نے 8 سالہ بچی کے ساتھ زیادتی کرنے والے ملزم کو گرفتار کرلیا۔ تفصیلات کےمطابق اطلاع موصول ہونے پر رائیونڈ پولیس نے فوری مقدمہ درج کیا اور ملزم کو چند گھنٹوں میں ٹریس کرکے گرفتار کر لیا گیا،ملزم عاقب محمود نے بچی کو ڈرا دھمکا کے زیادتی کا نشانہ بنایا۔ رپورٹ کےمطابق ملزم کو مزید تحقیقات کے لیے انویسٹی گیشن ونگ کے حوالے کر دیا گیا ہے،ایس پی صدر سدرہ خان کا کہنا تھا کہ بچوں کے ساتھ جنسی جرائم میں ملوث ملزمان کو قرار واقعی سزائیں دلوائی جا رہی ہیں۔ ,"رائیونڈ پولیس نے 8 سالہ بچی سے زیادتی میں ملوث ملزم کو بروقت گرفتار کرکے انویسٹی گیشن ونگ منتقل کردیا۔ ایس پی سدرا خان نے زور دے کر کہا کہ بچوں کے جنسی جرائم کے مرتکب افراد کو قانونی نتائج کا سامنا کرنا پڑے گا۔
"
"  کراچی کے علاقے سعودآباد میں پولیس اور ڈاکوؤں کے درمیان مقابلے میں 4 ڈاکو ہلاک ہوگئے۔ پولیس کے مطابق واقعے میں ایک پولیس اہلکار اور 2 شہری زخمی ہوئے جنہیں ہسپتال منتقل کردیا گیا ہے، زخمی اہلکار کی شناخت حنیف کے نام سے ہوئی ہے۔ پولیس کے مطابق ملزمان دن کے اوقات میں شہریوں سے لوٹ مار کرتے تھے، ملزمان کے قبضے سے اسلحہ، موبائل فونز اور 2 موٹر سائیکلیں برآمد کی گئی ہیں۔ پولیس کا کہنا ہے کہ ہلاک ڈاکوؤں کی لاشیں ہسپتال منتقل کردی گئی ہیں۔
 ","کراچی کے علاقے سعود آباد میں پولیس مقابلے میں 4 ڈاکو مارے گئے۔ حنیف سمیت ایک پولیس اہلکار اور دو شہری زخمی۔ دن دیہاڑے ڈکیتیوں میں ملوث ڈاکوؤں کے پاس اسلحہ، موبائل فون اور 2 موٹرسائیکلیں تھیں۔
"
رحیم یار خان میں سیوریج لائن کی کھدائی کے دوران مین ہول میں گر کر 3 مزدور جاں بحق ہو گئے جبکہ ایک کی حالت تشویشناک ہے۔ ریسکیو ذرائع کے مطابق جاں بحق ہونے والے تینوں مزدور نئی سیوریج لائن ڈالنے کیلئے کھدائی کر رہے تھے کہ اسی دوران پہلے سے بند بوسیدہ گٹر لائن ٹوٹ گئی جس میں چاروں مزدور جا گرے۔ حادثے میں 3 مزدور موقع پر ہی دم توڑ گئے جبکہ ایک کو تشویشناک حالت میں نکال کر ہسپتال منتقل کر دیا گیا، جاں بحق ہونے والے مزدوروں کی لاشیں شیخ زید ہسپتال منتقل کر دی گئی ہیں۔,"رحیم یار خان میں سیوریج لائن کھودتے ہوئے 3 مزدور جاں بحق چوتھا شدید زخمی ہے۔ نئی سیوریج لائن پر کام کے دوران پرانی، بوسیدہ سیوریج لائن گر گئی جس سے حادثہ پیش آیا۔ لاشوں کو ہسپتال منتقل کر دیا گیا۔
"
"راولپنڈی کے علاقے روات میں پولیس اورڈاکووں کے درمیان مقابلہ میں ایک کانسٹیبل شہید جبکہ 2 اہلکار زخمی ہوگئے۔ راولپنڈی پولیس کے مطابق پولیس کی جوابی کارروائی میں 3 ڈاکو مارے گئے۔ پولیس حکام کے مطابق شہید کانسٹیبل کی شناخت عدیل ظفر کے نام سے ہوئی وہ تھانا دھمیال میں تعینات تھا۔ پولیس حکام کا کہنا تھا کہ  شہید کانسٹیبل کی میت اسپتال منتقل کردی گئی ہے۔

","راولپنڈی کے علاقے روات میں ڈاکوؤں سے پولیس مقابلےمیں ایک کانسٹیبل جاں بحق اور دو اہلکار زخمی ہو ئے جبکہ  تین ڈاکو ہلاک ہو گئے۔ متوفی کانسٹیبل عدیل ظفر تھانہ دھمیال میں تعینات تھا، جس کی لاش کو اسپتال پہنچایا گیا ہے۔
"
کراچی میں پولیس وردیوں میں ملبوس مبینہ اہلکاروں کی شہریوں سےلوٹ مارکی واردات کا واقعہ پیش آیا ہے ، متاثرہ شہری فراز کا ویڈیو بیان سوشل میڈیا پر وائرل ہوگیا ۔ ویڈیومیں شہری فراز کا کہنا ہے کہ موٹرسائیکل پر باوردی 2پولیس اہلکار ہمارے پاس آئے، پولیس اہلکاروں نے ہمیں کہا کہ تمہیں تھانے لے جاکر بند کردینگے، ایس ایچ اونے ہمیں500 موٹر سائیکلیں بندکرنے کا کہاہے۔ شہری فراز نے الزام لگایا کہ پولیس اہلکاروں نےہم سےکہا کہ 5 ہزار دو ، نہیں تو تم لوگوں پر مقدمہ کردینگے، ہم نے 2ہزار روپے دیے تو ہماری جان چھوٹی۔ ایس پی کلفٹن ظفر صدیق چھانگلہ نے اس واقعہ کے حوالے سے ڈی ایس پی درخشاں کو ہدایت جاری کردی ہیں، ایس پی کلفٹن کاکہنا ہے کہ  اگر کوئی اہلکار ملوث پایا گیا تو اس کے خلاف کارروائی کی جائے گی۔,"کراچی میں پولیس اہلکاروں کی ڈکیتی کی واردات بیان کرنے والے شہری فراز کی ایک وائرل ویڈیو میں دعویٰ کیا گیا کہ موٹرسائیکل  سوار دو پولیس اہلکاروں نے اسے تھانے لے جانے کی دھمکی دی اور رقم کا مطالبہ کیا۔ پولیس واقعے کی تحقیقات کر رہی ہے اور ایس پی کلفٹن نے ملوث اہلکاروں کے خلاف کارروائی کا حکم دیا ہے۔
"
"مری میں خواتین کو چھیڑنے سے منع کرنے پر اوباش نوجوانوں نے پولیس چوکی پر حملہ کرکے پولیس اہلکاروں پر تشدد کیا۔
پولیس کے مطابق واقعہ ملزمان کو خواتین پر نازیبا جملے کسنے اور تنگ کرنے سے منع کرنے پرپیش آیا۔ پولیس نے بتایاکہ ملزمان نے پولیس چوکی میں داخل ہو کر پولیس اہلکاروں پر تشدد بھی کیا،  ملزمان نے آہنی راڈ مارکر کانسٹیبل منصوراحمد کو شدید زخمی کر دیا۔ پولیس کا کہنا ہے کہ ملزمان نے اہلکاروں سے سرکاری اسلحہ اور موبائل فونز بھی چھین لیے۔ پولیس نے 8 نامزد اور 20 نامعلوم افرادکےخلاف مقدمہ درج کرلیا، مقدمےمیں حسن، محسن، عصمت، انس، صدام، ارشادسبحان اور ذاکر کو نامزد کیا گیا ہے۔","مری میں خواتین کو ہراساں کرنے سے روکنے پر نوجوانوں نے پولیس چوکی پر حملہ کر کے کانسٹیبل کو لوہے کی راڈ سے زخمی کر دیا۔  نامزد اور 20 نامعلوم افراد کے خلاف مقدمہ درج کر لیا گیا ہے۔
"
مری میں خواتین کو چھیڑنے سے منع کرنے پر اوباش نوجوانوں نے پولیس چوکی پر حملہ کرکے پولیس اہلکاروں پر تشدد کیا۔پولیس کے مطابق تربت کے نواحی علاقے ناصر آباد میں پولیس تھانے پر نامعلوم مسلح افراد نے حملہ کردیا،فائرنگ کے نتیجے میں ایک پولیس اہلکار سمیت 5 افراد جاں بحق ہوگئے۔ پولیس کا کہنا ہےکہ فائرنگ سے جاں بحق افراد میں 4 مزدور بھی شامل ہیں جن کا تعلق پنجاب کے شہر مظفر گڑھ سے بتایا جاتا ہے۔  واقعے کے بعد پولیس اور دیگر قانون نافذ کرنے والے اداروں کے اہلکار موقع پر پہنچ گئے۔,"مری میں خواتین کو ہراساں کرنے سے روکنے پر منحرف نوجوانوں نے تھانے پر حملہ کر دیا۔  جس کے نتیجے میں ایک پولیس اہلکار جاں بحق اور مزدوروں سمیت  چار افراد زخمی ہو گئے۔
"
لاہور کے علاقے گجرپورہ میں کار سواروں کی فائرنگ سے 2 مبینہ ڈاکو ہلاک ہوگئے۔ پولیس کے مطابق کار سواروں کا کہنا ہے کہ ڈاکو لوٹنے کی کوشش کررہے تھے جس پر انہوں نے فائرنگ کی۔ پولیس نے بتایا کہ دونوں کار سوار وں کو حراست میں لے لیا گیا ہے جب کہ ہلاک ڈاکوؤں سے پستول برآمد کرکے مزید تحقیقات کی جارہی ہیں۔," گجر پورہ میں دو مشتبہ ڈاکوؤں کو کار سواروں نے اپنے دفاع میں گولی مار کر ہلاک کر دیا۔  کار سوار افراد کو حراست میں لے لیا ہے اور ہلاک ڈاکوؤں سے پستول برآمد کر لی گئی ہے۔ مزید تفتیش جاری ہے۔
"
کراچی کے علاقے بھینس کالونی سے 18 اکتوبر کو 8 سال کے بچے امان کی لاش ملی تھی ،بچے کے باپ نے 23 اکتوبر کو سعود آباد تھانے میں بچے کی گمشدگی کا مقدمہ درج کرایا تھا۔ تفتیشی حکام کا کہنا ہے کہ دوران تفتیش انکشاف ہوا کہ بچے کو اس کے باپ عامر نے ہی قتل کیا ہے۔ ملزم نے 17 اکتوبر کو تشدد کر کے بچے کو قتل کیا تھا اور لاش بھینس کالونی میں پھینک دی تھی۔ تفتیش میں پتا چلا کہ ملزم نے بچے کو پرورش کے لیے اپنے دوست کو  گود دے رکھا تھا، قتل سے چند روز قبل بچہ گھر اپنی ماں سے ملنے آیا ہوا تھا،ملزم نے  پاپا نہ کہنے پر بچے پر تشدد کیا اور پھر قتل کر دیا۔,"  کراچی کی بھینس کالونی سے آٹھ سالہ امان کی لاش ملی۔ اس کےسگے  والد عامر نے  اسے ""پاپا"" نہ کہنے پر بے دردی سے قتل کر کے لاش پھینک دی تھی۔ امان کے سگے والد نے  اسے اپنے ایک دوست کو گود دیا تھا اور  اسی نے بیٹے کے لاپتہ ہونے کی اطلاع دی ۔
"
 شوہر کے ہاتھوں مبینہ طور پر دوسری بیوی کو جلانے کا واقعہ گوجرانوالہ کے علاقے بہلول چک میں 5 روز قبل پیش آیا تھا۔ پولیس کے مطابق شمائلہ اور نصیر کے درمیان 2 سال قبل دوستی ہوئی، دونوں پہلے سے شادی شدہ تھے۔شمائلہ نے پہلے شوہر سے طلاق لے کر 7 ماہ قبل نصیر سے شادی کی تھی۔ پولیس کا کہنا ہے کہ شادی کے بعد شمائلہ اور نصیر کی پہلی بیوی روبینہ میں لڑائی جھگڑے شروع ہوگئے تھے جس پر مبینہ طور پر نصیر اور اس کی پہلی بیوی نے مل کر دوسری بیوی کو پیٹرول چھڑک کر آگ لگا دی  تھی۔ جس کے بعد متاثرہ خاتون کو تشویشناک حالت میں لاہور کے اسپتال میں متنقل کیا گیا تھا جہاں آج وہ زخموں کی تاب نہ لاتے ہوئے دم توڑ گئی ۔ واقعہ کی ویڈیو سوشل میڈیا پر بھی وائرل ہوئی تھی، پولیس نے مقدمہ درج کر کے ملزم نصیر کو پہلے ہی گرفتار کر لیا تھا۔,"گوجرانوالہ میں پانچ روز قبل نصیر اور اس کی پہلی بیوی روبینہ پر الزام ہے کہ انہوں نے نصیر کی دوسری بیوی شمائلہ کو جلا دیا۔ شمائلہ، جو آج زخموں کی تاب نہ لاتے ہوئے چل بسی، ہسپتال میں داخل تھی، اور نصیر کو گرفتار کر لیا گیا ہے۔  واقعے کی ویڈیو سوشل میڈیا پر وائرل ہوگئی تھی۔
"
 ٹانک اڈہ پر دھماکے کے بعد فائرنگ کی آوازیں سنی گئیں اور ابتدائی معلومات میں یہ بات سامنے آئی ہےکہ حملے میں پولیس وین کو نشانہ بنایا گیا۔ پولیس کا کہنا ہےکہ دھماکے سے موقع پر کھڑی متعدد موٹرسائیکلوں کو بھی نقصان پہنچا ہے جب کہ دھماکے کے نتیجے میں 20 افراد زخمی ہوئے جن میں پولیس اہلکار بھی شامل ہیں۔ پولیس کے مطابق واقعے کی اطلاع ملتے ہی ریسکیو اہلکاروں کو موقع پر طلب کیا گیا جنہوں نے زخمیوں کو اسپتال منتقل کیا۔ پولیس نے دھماکے میں 5 افراد کے جاں بحق ہونے کی تصدیق کی ہے۔,"ٹانک اڈے پر دھماکے کے بعد گولیاں چلیں، ابتدائی رپورٹس کے مطابق پولیس وین کو نشانہ بنایا گیا تھا۔ دھماکے سے متعدد موٹر سائیکلوں کو نقصان پہنچا، پولیس اہلکاروں سمیت 20 افراد زخمی ہوئے۔  زخمیوں کو ہسپتال منتقل کیاگیا، واقعے میں پانچ ہلاکتوں کی تصدیق ہوئی۔
"
کراچی کے علاقے کیماڑی میں ٹیلیفون لائن کے مین ہول سے پرانے اسلحے سے بھری بوری برآمد ہو ئی ہے۔ پولیس کے مطابق برآمد اسلحے میں 3 ایس ایم جی رائفل، 12 بور ریپیٹر اور مختلف اقسام کی گولیاں شامل ہیں۔ پولیس نے مزید بتایا کہ اسلحے کو فارنزک ٹیسٹ کے لیے لیبارٹری بھیجا جا رہا ہے جبکہ تھانہ ڈاکس میں نا معلوم افراد کے خلاف مقدمہ بھی درج کر لیا گیا ہے۔,"کراچی میں کیماڑی ٹیلی فون لائن کے مین ہول سے ایک بوری میں 3 ایس ایم جی رائفلز، 12 بور ریپیٹر، مختلف گولیاں  اور پرانے ہتھیاربرآمد ہوئے۔ پولیس ہتھیاروں کو فرانزک ٹیسٹ کے لیے بھیج رہی ہے۔ نامعلوم افراد کے خلاف مقدمہ درج کر لیا گیا ہے۔
"
"گوجرانوالہ میں پولیس ہیڈ کانسٹیبل نے سڑک کنارے اپنی عدالت لگالی۔ پولیس کانسٹیبل کی پستول لہراتے شہریوں کو اُلٹا لٹا کر تفتیش کرنے کی ویڈیو سامنےآگئی، ویڈیو سامنے آنے کے بعد سی پی او نے ہیڈ کانسٹیبل شاہد نواز کو معطل کردیاگیا۔ معطلی کےاگلے روز ہیڈ کانسٹیبل نےٹرک ڈرائیور سے 25ہزار روپے لوٹ لیے۔  
تاہم پولیس نےڈکیتی کا مقدمہ درج کرلیا لیکن گرفتاری اب تک نہ ہوسکی۔","گوجرانوالہ پولیس کے ایک ہیڈ کانسٹیبل کو ایک ویڈیو منظر عام پر آنے کے بعد معطل کر دیا گیا  جس میں اسے سڑک کنارے پستول لے کر پوچھ گچھ کرتے دکھایا گیا تھا۔  معطلی کے بعد، اسی کانسٹیبل نے مبینہ طور پر ایک ٹرک ڈرائیور سے 25,000 روپے لوٹے۔
"
رحیم یارخان کے علاقے بستی نائیاں میں واقعہ پیش آیا جہاں نشے کے عادی شوہر نے خاتون کو تشدد کا نشانہ بنایا۔ خاتون کے سر کے بال کاٹ دیے اور ناک کاٹنے کی کوشش کی جبکہ خاتون کو زخمی حالت میں شیخ زاید اسپتال منتقل کر دیا گیا۔ خاتون کی بہن نے بیان دیا کہ خاتون کا شوہر نشے کا عادی ہے، مسلسل تشدد کرتا ہے۔ پولیس کے مطابق خاتون کی درخواست پر ملزم کے خلاف کارروائی شروع کردی گئی ہے اور ملزم کی تلاش جاری ہے۔,"رحیم یار خان کی بستی  میں ایک خاتون کے نشے میں دھت شوہر نے  بال کاٹنے اور ناک کاٹنے کی کوشش کی  ۔ متاثرہ کو   ہسپتال منتقل کیا گیا۔ اس کی بہن کی درخواست پر ملزم کے خلاف کارروائی  کرتے ہوئے ملزم کی تلاش جاری ہے۔
"
ہالینڈ میں پاکستان کے سابق کرکٹر خالد لطیف کو 12 سال قیدکی سزا سنا دی گئی، خالد لطیف پر لوگوں کو  اسلام مخالف ڈچ سیاست دان گیرٹ وائلڈرز  کے قتل پر  اُکسانےکا الزام ہے۔ غیر ملکی خبر ایجنسی کے مطابق ہالینڈ کی عدالت نے پاکستان میں مقیم خالد لطیف کی غیر موجودگی میں انہیں سزا سنائی، خالد لطیف کسی بھی موقع پر عدالتی کارروائی کا حصہ نہیں بنے اور نہ ہی سزا کے اعلان کے وقت وہ ہالینڈ میں موجود تھے۔ ڈچ پراسیکیوٹر کے مطابق خالد لطیف نے 2018 میں آن لائن ویڈیو میں گیرٹ وائلڈرز کے قتل پر 23 ہزار ڈالر (اس وقت کے 30 لاکھ پاکستانی روپے) انعام دینےکا اعلان کیا تھا۔,"سابق پاکستانی کرکٹر خالد لطیف کو ہالینڈ کی عدالت نے اسلام  کے مخالف ڈچ سیاستدان گیئرٹ ولڈرز کے قتل پر اکسانے کے جرم میں 12 سال قید کی سزا سنائی ہے۔ اس نے 2018 کی ایک آن لائن ویڈیو میں ولڈرز کے قتل کے لیے $23,000 انعام   کی پیشکش کی۔
"
"برطانوی نشریاتی ادارے بی بی سی کے مطابق ڈی جے جانی واکر کو فلپائن میں  ان کے گھر میں قائم اسٹوڈیو میں مشتبہ شخص نے گولی ماری۔ پولیس کا کہنا ہے کہ ڈی جے فیس بک پر لائیو اسٹریمنگ کر رہے تھے جب مشتبہ شخص ان کے گھر میں ریکارڈنگ بوتھ میں داخل ہوا اور انہیں گولی مار  کر قتل کر دیا۔ مقامی میڈیا کے مطابق پولیس ذرائع کا حوالہ دیتے ہوئے بتایا گیا ہے کہ مشتبہ شخص نے ڈی جے کے ریڈیو بوتھ میں داخل ہونے کی کوشش کی تاکہ وہ آن ایئر آکر  کچھ اہم علان کرے تاہم اینکر کی جانب سے انکار پر اسے گولی مار دی۔ گولی لگنے کے بعد ڈی جے کی اہلیہ فوراً انہیں اسپتال لے گئیں لیکن  وہاں پہنچ کر ڈاکٹروں نے انہیں مردہ قرار دے دیا۔ پولیس کے مطابق علاقے کی سی سی ٹی وی فوٹیج حاصل کرکے تفتیش کی جارہی ہے۔

","ڈی جے جانی واکر کو  فلپائن میں فیس بک پر لائیو سٹریمنگ کے دوران گولی مار دی گئی۔ مشتبہ شخص نےاس کے گھر داخل ہو کر آن ایئر اعلان کرنے کی کوشش کی ۔ ڈی جے کے انکار پراسے گولی مار دی۔ ہسپتال پہنچانے کے باوجود ڈی جے کی موت واقع ہوئی۔ پولیس  واقعے کی تحقیقات کر رہی ہے۔
"
"انسداد منشیات فورس کے ترجمان کے مطابق گوادر میں اے این ایف نے منشیات اسمگلر گروہ کے خلاف کارروائی کرتے ہوئے مجموعی طور پر 1788 کلو گرام منشیات برآمد کر لی۔ منشیات میں 1740 کلو چرس، 28 کلوآئس اور 20 کلو گرام مارفین شامل ہیں۔
ترجمان کے مطابق بر آمد کردہ منشیات افغا نستا ن میں تیار کردہ ہیں، کچھ منشیات کو لکڑیوں اور پتوں سےبنائی گئی جھونپڑی سے برآمد کیا گیا جبکہ باقی  منشیات کو پہاڑیوں میں کھودی گئی سُرنگوں میں چھپایا گیا تھا۔ انسداد منشیات فورس کا کہنا ہے کہ منشیات برآمد کرنے کے بعد ذخیرہ کرنے والی جگہوں کو جلا دیا گیا ۔ ترجمان کے مطابق  برآمد کردہ منشیات کو بیرون ملک اسمگل کرنے کے لیے ذخیرہ کیا گیا تھا۔ ملزمان کے خلاف انسدادِ منشیات ایکٹ کے تحت مقدمات درج کر کے تحقیقات شروع کر دی ہے ۔","اینٹی نارکوٹکس فورس نے  افغانستان میں تیار کی جانے والی   1788 کلو گرام  چرس اورمارفین برآمد کر لی ۔ منشیات لکڑی کی جھونپڑیوں اور سرنگوں میں پائی گئیں جنہیں بعد میں تباہ کر دیا۔  خیال ہے کہ منشیات کا مقصد بیرون ملک اسمگلنگ کرنا تھا۔ ملزمان کے خلاف انسداد منشیات ایکٹ کے تحت مقدمات درج کر لیے گئے۔
"
کوہاٹ میں ٹک ٹاک وڈیو بنانے کے دوران لڑکےسے گولی چل گئی جس سے بھائی جاں بحق ہوگیا جبکہ گولی چلانے والے بھائی نے والدین کے ڈرسے خود کو بھی گولی مار کر خود کشی کرلی۔ پولیس کے مطابق گھمکول میں دو بھائی ٹک ٹاک بنا رہے تھے کہ ایک نے دوسرے بھائی پر پستول تان کر ویڈیو بنانے کی کوشش کی تو اس سے گولی چل گئی اور وہ موقع پر ہی جاں بحق ہوگیا۔ پولیس کے مطابق گولی چلانے والے بھائی نے والدین کے ڈر سے خود کو بھی گولی مار دی اور زندگی کا خاتمہ کر دیا۔ لاشیں ڈویژنل ہیڈ کوارٹر اسپتال منتقل کر دی گئیں، دونوں بھائیوں کا تعلق خانیوال سے ہے۔ پولیس کے مطابق مزید کارروائی جاری ہے۔,"کوہاٹ می ٹک ٹاک ویڈیو شوٹ کے دوران ایک بھائی نے غلطی سے دوسرے کو گولی مار کر قتل کر دیا، جس کے نتیجے میں گولی چلانے والے بھائی نے والدین کے خوف کی وجہ سے خودکشی کر لی۔ دونوں لاشیں ڈویژنل ہیڈ کوارٹر ہسپتال لے جائی گئیں۔ پولیس کی تفتیش جاری  ہے۔
"
ڈیرہ اسماعیل خان کے علاقے درہ زندہ میں آئل گیس کمپنی پر دہشتگردوں نے حملہ کردیا۔ ڈی ایس پی کے مطابق حملے کے دوران فائرنگ کے تبادلے میں ڈیوٹی پر مامور 2 پولیس اہلکار شہید اور تین زخمی ہوئے جنہیں اسپتال منتقل کر دیا گیا ہے جہاں ایک اہلکار کی حالت تشویشناک بتائی جارہی ہے۔ ڈی ایس پی نے بتایا کہ حفاظت کے لیے کمپنی کیمپ پر پولیس نفری تعینات کی گئی تھی، واقعے کے بعد جائے وقوعہ پر مزید پولیس کی نفری پہنچ گئی اور ملزمان کی تلاش جاری ہے۔,"ڈیرہ اسماعیل خان کے علاقے ڈیرہ زندہ میں دہشت گردوں نے آئل اینڈ گیس کمپنی پر حملہ کر کے 2 پولیس اہلکار شہید اور 3 زخمی کر دیے۔ پولیس  کو حفاظت کے لیے تعینات کیا گیا تھا۔ جائے وقوعہ پر حفاظتی اقدامات تیز کر دیے گئے۔
"
لاہور کے علاقے باغبان پورہ میں گھر میں کام کرنے والے 9 سالہ بچے کی پھندا لگی لاش برآمد ہوئی ہے۔ لاش ملنے کے بعد مالک مکان اور پراپرٹی ڈیلر کے خلاف مقدمہ درج کرلیا گیا ہے، ملزم فرار ہو گئے۔ مبینہ طور پر مقتول بچے کی ماں نے مفرور ملزم پر بچے کو زیادتی کے بعد قتل کرنے کا الزام لگادیا۔ والدہ کا کہنا تھا کہ بچے کو پانچ سال قبل پراپرٹی ڈیلر شان کے پاس کام کیلئے رکھوایا تھا، ملزم نے پانچ سال میں ایک بار بھی بچے سے ملنے نہیں دیا۔ انہوں نے کہا کہ آج اچانک فون کرکے بتایا کہ احسان نے خودکشی کرلی ہے، بچے کی لاش کو بھی گھر والوں کے پہنچنے سے پہلے ڈیڈ ہاؤس منتقل کردیا گیا۔,"لاہور میں ایک گھر سے 9 سالہ بچے کی لاش ملی۔ گھر کا مالک اور پراپرٹی ڈیلر  فرار ہو گئے جن کے خلاف مقدمہ درج کر لیا گیا۔ بچے کی والدہ نے ملزمان پر زیادتی اور قتل کرنے کا الزام  لگایا۔ گھر والوں کو بچے کی خودکشی کی اطلاع دیتے ہوئے،  ان کے پہنچنے سے پہلے لاش کو مردہ خانہ بھیج دیا گیا۔
"
کراچی کے علاقے اورنگی ٹاؤن میں شہریوں کے تشدد سے مبینہ ڈاکو ہلاک ہوگیا۔ پولیس کے مطابق دو ملزمان لوٹ مارکر رہے تھے کہ شہریوں نے ایک ملزم کوپکڑلیا جب کہ دوسرا ملزم فرار ہو گیا۔ شہریوں نے ملزم کو بری طرح تشدد کا نشانہ بنایا جس سے موقع پر ہی جاں بحق ہوگیا۔ دوسری جانب اورنگی ٹاؤن فقیر کالونی میں جھگڑے میں فائرنگ سے مطلوب منشیات فروش جبار عرف مایا مارا گیا۔,"کراچی کے علاقے اورنگی ٹاؤن میں شہریوں نے ڈکیتی کے دوران ایک مشتبہ ڈاکو پر  حملہ کر کے اسے ہلاک کردیا۔ علاوہ ازیں اورنگی ٹاؤن کی فقیر کالونی میں ایک مقابلے میں مطلوب منشیات فروش جبار عرف مایا مارا گیا۔
"
انٹرنیشنل کمیٹی آف دی ریڈ کراس کے مطابق اسرائیل نے غزہ میں اس کے 5 امدادی ٹرکوں اور 2 گاڑیوں کو نشانہ بنایا جن میں زندگی بچانے والی ادویات بھی شامل تھیں جب کہ اسرائیلی حملے میں 2 گاڑیوں کو شدید نقصان پہنچا۔ دوسری جانب جی سیون ممالک کے سفارت کاروں نے اسرائیل پر حماس کے حملوں کی مذمت کی ہے اور اسرائیل کے اپنے دفاع میں حملوں کو اس کا حق قرار دیا ہے۔ جی سیون ممالک کے سفارتکاروں کے ٹوکیو میں اجلاس کے بعد اعلامیہ جاری کیا گیا ہے جس میں انسانی بنیادوں پر حملوں میں وقفے اور غزہ کی پٹی پر عام شہریوں کو فوری امداد کا مطالبہ کیا گیا ہے۔ اعلامیے میں فلسطین میں پھنسےعام شہریوں کی مدد، کھانا، پانی، طبی امدادی اور پناہ گاہوں کے لیے فوری ایکشن پر بھی زور دیا گیا ہے۔,"انٹرنیشنل کمیٹی آف ریڈ کراس کی رپورٹ کے مطابق اسرائیل نے غزہ میں  5 امدادی ٹرکوں اور 2 گاڑیوں کو نشانہ بنایا ۔ دریں اثنا،  جی سیون سفارت کاروں نے اسرائیل پر حماس کے حملوں کی مذمت کرتے ہوئے اسرائیل کا اپنے دفاع کے حق پر زور دیا۔ اور ٹوکیو اجلاس میں فلسطین میں پھنسے شہریوں کے لیے طبی امداد اور پناہ گاہوں کی فوری فراہمی کا مطالبہ کیا گیا ہے۔
"
اسرائیل نے غزہ میں انسانی امداد کو بھی نشانہ بنانا شروع کردیا۔ میڈیا رپورٹس کے مطابق امریکی وزیر خارجہ انٹونی بلنکن سمیت برطانیہ، کینیڈا، فرانس، جرمنی، جاپان اور اٹلی کے وزرائے خارجہ نے غزہ میں انسانی بنیادوں پر حملوں میں وقفے کی حمایت کی۔ ادھر غزہ پر ایک ماہ سے جاری اسرائیلی جارحیت میں شہید فلسطینیوں کی تعداد 10 ہزار سے تجاوز کرگئی ہے اور تقریباً 26 ہزار زخمی ہیں جب کہ شہید ہونے والوں میں بڑی تعداد خواتین اور بچوں کی بھی شامل ہے۔,"اسرائیل نے غزہ میں انسانی امداد کو نشانہ بنایا، جس سے برطانیہ، کینیڈا، فرانس، جرمنی، جاپان، اٹلی کے وزرائے خارجہ اور امریکی وزیر خارجہ انتھونی بلنکن کی جانب سے حملوں کو روکنے  کا اشارہ دیا گیا۔  10,000 سے زائد فلسطینی ہلاک اور 26,000  زخمی ہو چکے ہیں۔ جن میں بڑی تعداد خواتین اور بچوں کی ہے۔
"
"معروف ٹک ٹاکر حریم شاہ نے اعتراف کیا ہے کہ انھیں اپنی زندگی میں کئی مرتبہ جنسی طور  پر  ہراساں کیا گیا۔ حریم شاہ حال ہی میں ایک پوڈکاسٹ میں شریک ہوئیں جس دوران میزبان نے حریم شاہ سے کئی موضوعات اور  ان سے متعلق حال ہی میں بننے والے تنازعات پر  سوال کیے۔ جنسی ہراسگی سے متعلق سوال پر حریم شاہ  نے انکشاف کیا کہ مجھے زندگی میں کئی بار جنسی طور پر ہراساں کیا گیا لیکن اس کے جواب میں میں نے ان لوگوں کا  اتنا نقصان کیا کہ انھیں اپنے نقصان کا اندازہ ہی نہ ہو سکا اور  انھیں سمجھ بھی نہیں آئی کہ یہ لڑکی کیسے آئی اور کیا کر کے چلی گئی۔

","معروف ٹک ٹوکر حریم شاہ نے ایک پوڈ کاسٹ میں انکشاف کیا کہ انہوں نے جنسی طور پر ہراساں کیے جانے کے متعدد واقعات کا سامنا کیا ہے۔ اور یہ بھی کہا کہ اس نے مجرموں کے خلاف اس طرح جوابی کارروائی کی جس سے وہ نتائج کے بارے میں حیران رہ گئے۔
"
